Date,4101,4012,4001,4302,4102,4303,4103,4104,4090,4106,4005,4306,4019,4309,4028,4023,4311,4103-2,4309-2
1983-04-01,12.5,7,0,5.5,36.4,25.7,1.3,24.4,1.5,37.1,0,13.5,5,0,0,0,0,3,0
1983-05-01,0,0,0,0.1,12.6,0,0,0,0,4.9,0.8,0,0,0.6,0,0,0,0,1
1983-06-01,0,0,0,0,2,0.2,0,0,0,10.9,0,0,0,0,0,0,0,0,0
1983-07-01,0,1.7,0,0.9,6.5,3.5,0,0,2.5,8.7,0.5,2.5,0,0,0,0,0,0,0
1983-08-01,3.7,34.1,0,5.2,36.5,2.1,5.3,8.2,22,28.5,0,15.9,0,11.3,0,0,0,12.3,18.5
1983-09-01,47.3,11.6,30,26.5,40,5.3,10,21.3,21.5,20.4,10.5,3.9,10,18.3,5.6,29,23.1,23.5,29.9
1983-10-01,3.9,19.3,0,6.2,18.2,13.8,0,0.2,20.5,22.4,15.5,15.6,0,10.4,3,0,0,0,17
1983-11-01,13.4,7.6,0,9,12.7,34.5,2.6,5.7,9,26.3,0,18.2,0,9.5,0,0,0.1,6.2,15.5
1983-12-01,101.6,15.5,2,26.7,58.6,24.8,29.5,55.9,39.3,64.8,28,53.6,23,52.8,14.5,0,5.3,69,86.3
1984-01-01,222.6,180.3,35,317.8,207,234.7,129.7,177.3,207.6,193.7,224.4,178.4,284,216.1,148.8,190.5,231.2,303.5,353.1
1984-02-01,195.9,209.5,40.5,138.4,152.7,93.4,121.6,193.2,139.9,174.4,240.3,128.4,206,224,173.5,148.8,70.4,284.6,366.1
1984-03-01,81.4,139.8,9.4,122,97,62.1,46.2,90.1,105.6,125.1,110.2,167.6,79,152.5,95.1,71.6,60.2,108,249.2
1984-04-01,18.4,7.8,8.1,8.7,10.8,28.8,0,3.1,15,13.5,0,7.9,0,23.3,0,6.7,0.4,0,38.1
1984-05-01,0,0,0,0.6,1.8,0,0,5.8,0,0.8,0,3.2,0,0,0.5,0,0,0,0
1984-06-01,16.7,10.8,0,9.5,12.5,1.7,7.8,14.8,1,14.1,0.6,1.1,3,0,0,2.5,9.4,18.2,0
1984-07-01,0,0,0,0,1.4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1984-08-01,0,18.9,0.8,10.7,9.2,0.9,0,5.5,26,8.2,0.7,1.2,7.4,6.4,0,9.5,9.7,0,10.5
1984-09-01,0,0,0,2.3,0.6,0,0,0.3,4,2,0,9.7,0,2.1,0,0.8,0,0,3.5
1984-10-01,44.7,2.6,75.5,33.4,29.4,44.5,12.6,27.9,51,34.2,20.9,52.4,24,56.2,19.4,46.8,9.7,29.4,91.9
1984-11-01,140.2,73.6,40.4,39.7,55.1,50.5,31.9,83.6,73.1,71.7,62.7,66.3,40,36.5,47,52.9,27,74.7,59.6
1984-12-01,51.2,30.5,4.5,10.5,75.9,95.8,70.5,51.5,58.2,46.6,23.9,43.9,14.7,56.7,2.9,21.7,6.1,165,92.6
1985-01-01,158.9,201.9,83.9,28.5,130,80.5,38.3,117.4,84.2,99.2,91.3,75.3,71.8,44.9,64.3,89.2,37.5,89.5,73.3
1985-02-01,162.8,147.9,96.6,110,76.5,165.8,33.3,108.3,123.2,108.8,79.2,96,89.2,145.9,68.5,111.2,46.5,77.9,238.4
1985-03-01,59.2,86.6,42.1,29.2,29.1,74.4,20.8,58.1,36.7,49.3,36.3,21.8,34.8,45.7,28.8,43.8,12,48.7,74.7
1985-04-01,95.6,78.7,37.7,21.8,48.2,32.4,0,46.9,51.4,33.9,36.7,58.9,28.5,41.9,29.1,37,0,0,68.5
